"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AFUB_000050-T",2173.23326134106,-5.06527962181144,0.278218883507467,2.44901846026292e-75,2.3613435993855e-71
"AFUB_071550-T",4585.14075607518,5.62826802213361,0.364404871381551,3.8363922293564e-55,1.26783052798597e-51
"AFUB_071569-T",7337.89458449996,4.98476468531615,0.322342402692438,3.94471228371491e-55,1.26783052798597e-51
"AFUB_071560-T",14730.5491406766,5.78413850888745,0.379204593101358,7.2923883524238e-54,1.75783021235176e-50
"AFUB_000060-T",1650.4024491277,-5.19687488399092,0.359613903519573,1.1105049956835e-48,2.14149783367606e-45
"AFUB_033620-T",793.078631940766,-5.90766873157987,0.410674353664384,4.47673980123358e-48,7.19412086058237e-45
"AFUB_063960-T",27562.9772074791,-3.64263031573378,0.260005072282924,9.1293691921023e-46,1.25750539643215e-42
"AFUB_003610-T",2699.21774068434,-4.4915590556301,0.321411617117779,1.08857171203327e-45,1.3120010559281e-42
"AFUB_017380-T",14722.2993724356,-3.82638745352275,0.274301099922482,3.06693636086828e-45,3.28571115461022e-42
"AFUB_049700-T",1283.28066913257,-5.44696183234577,0.395696747772318,1.74116156961835e-44,1.67882798542601e-41
"AFUB_092090-T",85023.255111406,3.62848736744498,0.277929816312533,3.27198263120565e-40,2.79029480123476e-37
"AFUB_000340-T",4475.14023207571,-3.65121478250654,0.279843268021953,3.47267554602957e-40,2.79029480123476e-37
"AFUB_086630-T",793.301742028112,5.63723138806887,0.497551617298274,4.63211648587896e-31,3.43560516591115e-28
"AFUB_033480-T",1388.41534106269,-3.1621930477424,0.284175218380825,5.0251149637731e-30,3.46086846290716e-27
"AFUB_081740-T",5012.84713605068,-3.28923680759827,0.298820919683863,1.6317173891557e-29,1.04886793774928e-26
"AFUB_047590-T",3694.238510091,-3.15959817162057,0.300127513451412,3.57308547048733e-27,2.15323063165243e-24
"AFUB_045800-T",3076.64083140448,-2.96204530703006,0.283065094124976,7.51209131174249e-27,4.26068143693065e-24
"AFUB_095210-T",702.233429474146,-3.18654584310716,0.310155863097998,4.83327929758538e-26,2.58902661040657e-23
"AFUB_024600-T",134.819898874586,5.24122962588497,0.517929708353405,6.09012364573857e-25,3.0905774838006e-22
"AFUB_017840-T",6195.56574090892,-2.70976411143154,0.274687985398045,3.33703201146955e-24,1.60878313272947e-21
"AFUB_090430-T",4548.89214053398,-2.50966232833447,0.260166319563706,2.5907241894813e-23,1.18951250642756e-20
"AFUB_092080-T",1369.69944681032,2.82793875105732,0.295636925574483,6.67946018665833e-23,2.92742523271634e-20
"AFUB_003620-T",210.19411393484,-3.49470242082237,0.368637588011752,1.38221236664592e-22,5.7944746257391e-20
"AFUB_071540-T",6622.50960422413,5.76541271037828,0.616293053743614,4.25189297346517e-22,1.70819800208963e-19
"AFUB_071530-T",618.343082527361,4.0050620267012,0.436330285959202,2.34871622069084e-21,9.05852871996043e-19
"AFUB_084490-T",3161.30678653143,-2.63380161302194,0.2893454199364,4.96307822666387e-21,1.84053847159589e-18
"AFUB_100720-T",2803.31747748931,-2.33305598291752,0.259807876883744,1.62111432608619e-20,5.78917938226778e-18
"AFUB_080430-T",452.877615458006,-2.58199691746094,0.292580700581442,6.27572805747425e-20,2.16109178322024e-17
"AFUB_080270-T",319.552082445765,4.61993808897649,0.525528469660659,8.80345827138295e-20,2.92699809147153e-17
"AFUB_071880-T",1681.07624422,-2.60645619050059,0.298158651507546,1.42757286813854e-19,4.58821919819728e-17
"AFUB_044940-T",275.519507151053,-3.44169970793557,0.395521431822114,1.72979692702223e-19,5.38022644204784e-17
"AFUB_095070-T",467.814313872889,-3.48680049038666,0.403262316850811,2.53819911440495e-19,7.64791120659142e-17
"AFUB_044770-T",250.419108216435,-2.86922761401778,0.339658278697368,1.68746110358138e-18,4.93045453355505e-16
"AFUB_046280-T",86.7598828548602,-4.58879420331623,0.547677860932189,3.60015346517276e-18,1.02096116797634e-15
"AFUB_055520-T",137.616058339273,3.62166410112275,0.433417511022445,4.4214026212828e-18,1.21803325926882e-15
"AFUB_049200-T",8130.0152325707,-2.99967222295085,0.361797386768864,5.92419037631274e-18,1.58669565578909e-15
"AFUB_006090-T",10614.405077036,-2.49347853423905,0.300602367876731,6.22474798297853e-18,1.62213567707781e-15
"AFUB_100430-T",3956.66447329384,-1.94970909480289,0.23729899924574,1.36677229979769e-17,3.46800487227613e-15
"AFUB_003560-T",7400.9710445556,-3.08915467801859,0.391446099022763,1.39323564410165e-16,3.44450720010977e-14
"AFUB_010860-T",188.791528138499,3.54476097657702,0.449142565587686,1.72806007309109e-16,4.16548880618608e-14
"AFUB_095010-T",1572.67996676462,3.95127472120955,0.522933081086736,2.0344151107534e-15,4.784348901923e-13
"AFUB_034540-T",51947.5973522769,-2.12926044128535,0.280958683519198,2.12238399845426e-15,4.87238726502285e-13
"AFUB_017600-T",1989.90965689861,2.89140305656369,0.389363291963325,7.1178224051125e-15,1.59604752628127e-12
"AFUB_091800-T",475.027185292852,-3.13521490934388,0.425081420801997,7.9528850559574e-15,1.74276631158048e-12
"AFUB_047110-T",760.374051005263,-3.07462309492926,0.418049299311048,9.40636380441174e-15,2.01547021782529e-12
"AFUB_044800-T",4342.22013911174,-2.55635604739428,0.348679074359028,1.29050973688004e-14,2.70502062673855e-12
"AFUB_102080-T",1224.55701519769,-2.16888693692406,0.297137328476821,1.76623443763713e-14,3.62341115908451e-12
"AFUB_047580-T",4909.83998042363,-3.82556809700317,0.530276087804269,2.53351244871446e-14,5.08919313135517e-12
"AFUB_017480-T",248.501324556032,-2.84211650730296,0.395866324054768,3.70681885579618e-14,7.1855734353093e-12
"AFUB_014360-T",161.051182356298,2.74980480536579,0.382392665594119,3.72618410874782e-14,7.1855734353093e-12
"AFUB_000690-T",8502.07928657646,-2.78694441793951,0.38971599992985,4.64564685236085e-14,8.78300528440458e-12
"AFUB_047530-T",566.730625489157,-2.41426370153152,0.340290336048174,7.37246220960932e-14,1.36702462740487e-11
"AFUB_099620-T",444.286003455307,-1.95840674147851,0.277984067346317,1.20066214085145e-13,2.18429893624334e-11
"AFUB_050320-T",79.0747887760127,3.97198937718423,0.567172912692779,1.66681081719383e-13,2.97618331470055e-11
"AFUB_024940-T",154.959554509071,2.68970445402462,0.386869883366669,2.18125717434891e-13,3.82394212274039e-11
"AFUB_080880-T",109.060771831012,-2.61796911414266,0.377304458602742,2.30406055322651e-13,3.96709854539464e-11
"AFUB_097730-T",607.393125892787,2.20391867259587,0.318524522964467,2.86474599511551e-13,4.84594401489539e-11
"AFUB_082079-T",373.934649158786,3.14956502715498,0.456916402278804,2.95872975696291e-13,4.91863315804075e-11
"AFUB_090480-T",78.7394287538364,4.01764163854801,0.587517739651173,5.19230128726614e-13,8.48545237488477e-11
"AFUB_087290-T",930.366959867644,-2.35433371008415,0.345670535590956,5.4376067154757e-13,8.73823399176945e-11
"AFUB_041670-T",1469.96538008142,2.93512155423627,0.43629582780409,9.39938056361627e-13,1.48571848187521e-10
